alpha,beta,gamma,MOB_CA,STAT_CA,TOT_CA,TOT_CLASHES
0.0,-45.0,-45.0,490.0,537.0,1027.0,2342.0
0.0,-45.0,0.0,202.0,235.0,437.0,963.0
0.0,-45.0,45.0,53.0,46.0,99.0,194.0
0.0,-45.0,90.0,178.0,176.0,354.0,690.0
0.0,-45.0,135.0,928.0,1028.0,1956.0,4321.0
0.0,-45.0,180.0,1229.0,1258.0,2487.0,5581.0
0.0,0.0,-180.0,1236.0,1279.0,2515.0,5588.0
0.0,0.0,-135.0,1107.0,1104.0,2211.0,4889.0
0.0,0.0,-90.0,754.0,785.0,1539.0,3521.0
0.0,0.0,-45.0,460.0,485.0,945.0,2067.0
0.0,0.0,0.0,186.0,198.0,384.0,739.0
0.0,0.0,45.0,41.0,39.0,80.0,136.0
0.0,0.0,90.0,366.0,425.0,791.0,1753.0
0.0,0.0,135.0,1095.0,1146.0,2241.0,5051.0
0.0,0.0,180.0,1236.0,1279.0,2515.0,5588.0
0.0,45.0,-180.0,1268.0,1321.0,2589.0,5716.0
0.0,45.0,-135.0,1225.0,1298.0,2523.0,5573.0
0.0,45.0,-90.0,517.0,544.0,1061.0,2205.0
0.0,45.0,-45.0,342.0,337.0,679.0,1474.0
0.0,45.0,0.0,33.0,35.0,68.0,101.0
0.0,45.0,45.0,50.0,48.0,98.0,145.0
0.0,45.0,90.0,653.0,705.0,1358.0,3036.0
0.0,45.0,135.0,1138.0,1200.0,2338.0,5383.0
0.0,45.0,180.0,1268.0,1321.0,2589.0,5716.0
0.0,90.0,-180.0,1333.0,1398.0,2731.0,6245.0
0.0,90.0,-135.0,912.0,981.0,1893.0,3972.0
0.0,90.0,-90.0,450.0,475.0,925.0,2044.0
0.0,90.0,-45.0,119.0,122.0,241.0,367.0
0.0,90.0,0.0,12.0,15.0,27.0,34.0
0.0,90.0,45.0,92.0,95.0,187.0,333.0
0.0,90.0,90.0,548.0,551.0,1099.0,2239.0
0.0,90.0,135.0,1195.0,1281.0,2476.0,5553.0
0.0,90.0,180.0,1333.0,1398.0,2731.0,6245.0
45.0,-90.0,-180.0,1010.0,1021.0,2031.0,4400.0
45.0,-90.0,-135.0,1393.0,1415.0,2808.0,6232.0
